CPH-L-131B. Size of Household--Households by Total Money Income in 1989, by State,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
------------------------------------------------------------------------------------------------------------,,,,,,,
                              Total,1-Person,2-Person,3-Person,4-Person,5-Person,6+-Persons,
"$12,500 to $14,999","49,524","11,691","16,850","8,392","6,277","3,243","3,071"
"$15,000 to $17,499","51,499","12,041","16,226","9,246","7,295","3,612","3,079"
"$17,500 to $19,999","43,881","8,804","14,545","7,957","6,530","3,256","2,789"
"$20,000 to $22,499","47,250","9,285","15,251","8,804","7,167","4,169","2,574"
"$22,500 to $24,999","36,740","5,788","11,890","7,533","6,159","3,305","2,065"
"$25,000 to $27,499","40,909","5,617","13,461","8,568","7,196","3,540","2,527"
"$27,500 to $29,999","32,169","3,530","10,205","7,719","6,254","2,831","1,630"
"$30,000 to $32,499","36,396","4,522","11,230","7,826","7,704","3,405","1,709"
"$32,500 to $34,999","25,551","2,339","8,162","5,693","5,410","2,342","1,605"
"$35,000 to $37,499","28,044","2,573","8,085","6,363","6,671","2,942","1,410"
"$37,500 to $39,999","22,042","1,466","6,733","5,353","5,093","2,128","1,269"
"$40,000 to $42,499","24,508","1,803","7,002","5,848","6,182","2,483","1,190"
"$42,500 to $44,999","17,871","1,066","5,180","4,484","4,526","1,696",919
"$45,000 to $47,499","18,418","1,053","5,109","4,608","4,768","2,005",875
"$47,500 to $49,999","13,860",541,"4,015","3,619","3,600","1,468",617
"$50,000 to $54,999","26,413","1,150","7,494","6,637","6,859","2,987","1,286"
"$55,000 to $59,999","18,357",560,"5,277","4,737","5,068","1,891",824
"$60,000 to $74,499","34,800","1,238","10,454","8,706","8,862","3,687","1,853"
"$75,000 to $99,999","19,121",838,"6,074","4,612","4,578","2,173",846
"$100,000 to $124,999","6,332",310,"2,197","1,317","1,664",554,290
"$125,000 to $149,999","2,780",268,916,623,481,376,116
"$150,000 or more","6,302",524,"2,323","1,145","1,278",665,367
Median (dollars),"20,136","8,336","21,135","26,089","29,805","26,614","20,202"
,,,,,,,
,,,,,,,
MISSOURI,,,,,,,
,,,,,,,
  Total,"1,961,364","507,394","644,778","332,065","289,110","127,529","60,488"
"Less than $5,000","140,008","83,393","25,519","15,274","9,038","4,371","2,413"
"$5,000 to $9,999","208,126","119,300","50,977","17,233","11,067","5,793","3,756"
"$10,000 to $12,499","108,083","46,878","36,057","11,825","7,872","3,265","2,186"
"$12,500 to $14,999","94,186","33,968","35,706","11,750","7,079","3,777","1,906"
"$15,000 to $17,499","101,419","33,716","37,727","13,941","9,251","4,127","2,657"
"$17,500 to $19,999","92,560","27,271","35,364","13,414","9,422","4,738","2,351"
"$20,000 to $22,499","102,951","28,854","38,493","15,659","11,987","5,529","2,429"
"$22,500 to $24,999","83,045","18,915","31,793","13,961","11,314","4,779","2,283"
"$25,000 to $27,499","92,347","20,411","33,986","16,014","13,388","5,910","2,638"
"$27,500 to $29,999","74,391","13,547","27,934","13,571","11,705","5,358","2,276"
"$30,000 to $32,499","90,015","16,908","30,407","16,828","15,924","7,013","2,935"
"$32,500 to $34,999","67,272","9,561","23,711","13,827","12,200","5,527","2,446"
"$35,000 to $37,499","74,725","10,911","26,481","14,697","14,377","5,860","2,399"
"$37,500 to $39,999","57,617","5,957","20,776","12,126","11,233","5,277","2,248"
"$40,000 to $42,499","65,315","7,502","22,240","13,436","13,869","5,835","2,433"
"$42,500 to $44,999","48,579","3,795","16,619","10,998","10,854","4,605","1,708"
"$45,000 to $47,499","49,283","4,129","16,496","10,760","11,269","4,509","2,120"
"$47,500 to $49,999","39,274","2,558","12,631","9,324","9,311","3,662","1,788"
"$50,000 to $54,999","77,509","5,139","25,755","18,024","17,705","7,847","3,039"
"$55,000 to $59,999","58,057","2,683","18,752","14,296","13,702","5,875","2,749"
"$60,000 to $74,499","112,011","5,131","35,308","27,478","27,612","11,364","5,118"
"$75,000 to $99,999","69,445","3,137","22,577","16,166","16,937","7,118","3,510"
"$100,000 to $124,999","24,566","1,500","8,292","5,450","5,627","2,280","1,417"
"$125,000 to $149,999","9,875",578,"3,561","1,951","2,270",978,537
"$150,000 or more","20,705","1,652","7,616","4,062","4,097","2,132","1,146"
Median (dollars),"26,362","12,804","27,262","33,687","37,488","36,526","34,967"
,,,,,,,
,,,,,,,
MONTANA,,,,,,,
,,,,,,,
  Total,"306,919","80,214","103,789","46,904","44,865","21,164","9,983"
"Less than $5,000","22,480","12,921","4,861","2,583","1,230",561,324
"$5,000 to $9,999","38,514","21,630","9,214","3,143","2,312","1,330",885
"$10,000 to $12,499","20,207","8,560","6,727","2,168","1,598",702,452
"$12,500 to $14,999","17,347","6,006","6,463","2,136","1,542",746,454
"$15,000 to $17,499","18,405","6,003","6,831","2,371","1,792",909,499
"$17,500 to $19,999","15,901","4,039","6,315","2,364","1,760",824,599
"$20,000 to $22,499","17,728","4,293","6,875","2,495","2,355","1,151",559
"$22,500 to $24,999","14,732","2,762","5,709","2,388","2,375","1,078",420
"$25,000 to $27,499","15,406","2,805","5,840","2,557","2,428","1,280",496
"$27,500 to $29,999","12,340","1,731","4,655","2,054","2,318","1,134",448
"$30,000 to $32,499","14,306","2,201","4,871","2,662","2,695","1,342",535
"$32,500 to $34,999","10,433","1,049","3,747","1,984","2,123","1,097",433
"$35,000 to $37,499","11,639","1,309","3,979","2,252","2,560","1,072",467
"$37,500 to $39,999","8,695",639,"3,101","1,691","1,899",996,369
"$40,000 to $42,499","9,505",821,"3,239","1,862","2,332",900,351
"$42,500 to $44,999","6,923",419,"2,483","1,307","1,680",739,295
"$45,000 to $47,499","6,819",453,"2,188","1,362","1,675",803,338
"$47,500 to $49,999","5,313",251,"1,867","1,166","1,281",567,181
"$50,000 to $54,999","9,994",615,"3,716","2,107","2,200",971,385
"$55,000 to $59,999","6,703",275,"2,397","1,462","1,410",722,437
"$60,000 to $74,499","11,501",571,"4,303","2,361","2,741","1,064",461
"$75,000 to $99,999","6,803",433,"2,391","1,468","1,548",660,303
"$100,000 to $124,999","2,310",180,842,450,489,243,106
"$125,000 to $149,999","1,080",66,424,205,196,86,103
"$150,000 or more","1,835",182,751,306,326,187,83
Median (dollars),"22,988","11,623","24,518","29,018","32,532","31,615","29,194"
,,,,,,,
,,,,,,,
NEBRASKA,,,,,,,
,,,,,,,
  Total,"602,858","158,927","199,560","91,633","89,291","43,550","19,897"
"Less than $5,000","33,706","21,798","6,177","2,890","1,691",713,437
"$5,000 to $9,999","61,896","39,074","13,561","4,164","2,881","1,488",728
"$10,000 to $12,499","34,988","17,064","10,890","3,180","1,988","1,212",654
"$12,500 to $14,999","29,673","11,913","10,777","3,062","2,162","1,113",646
"$15,000 to $17,499","34,504","12,894","12,238","4,013","3,119","1,515",725
"$17,500 to $19,999","30,938","9,434","11,562","4,092","3,329","1,627",894
"$20,000 to $22,499","34,449","9,508","12,959","4,629","4,169","2,133","1,051"
"$22,500 to $24,999","28,563","6,563","10,832","4,275","3,868","2,018","1,007"
"$25,000 to $27,499","31,294","6,359","11,795","4,861","4,554","2,576","1,149"
"$27,500 to $29,999","24,974","3,761","9,559","4,497","4,124","2,066",967
"$30,000 to $32,499","29,398","4,431","10,593","4,962","5,457","2,879","1,076"
"$32,500 to $34,999","22,894","2,545","8,591","4,225","4,525","2,202",806
"$35,000 to $37,499","24,282","2,700","8,498","4,481","5,159","2,450",994
"$37,500 to $39,999","18,717","1,568","6,845","3,704","3,870","1,808",922
"$40,000 to $42,499","21,058","1,722","7,085","4,263","4,963","2,105",920
"$42,500 to $44,999","15,447",907,"5,155","3,614","3,378","1,707",686
"$45,000 to $47,499","15,505","1,055","4,970","3,239","3,811","1,720",710
"$47,500 to $49,999","12,102",715,"4,132","2,646","2,795","1,289",525
"$50,000 to $54,999","22,778","1,312","7,369","4,757","5,581","2,627","1,132"
"$55,000 to $59,999","16,162",670,"5,439","3,333","4,116","1,816",788
"$60,000 to $74,499","29,539","1,197","9,802","6,626","7,251","3,196","1,467"
"$75,000 to $99,999","16,607",817,"5,604","3,610","3,871","1,884",821
"$100,000 to $124,999","5,828",367,"2,134","1,196","1,154",629,348
"$125,000 to $149,999","2,479",158,974,468,507,250,122
"$150,000 or more","5,077",395,"2,019",846,968,527,322
Median (dollars),"26,016","12,821","27,286","33,205","36,346","35,238","34,406"
,,,,,,,
,,,,,,,
NEVADA,,,,,,,
,,,,,,,
  Total,"467,513","118,805","163,765","78,009","60,596","28,246","18,092"
"Less than $5,000","21,665","12,039","4,865","2,378","1,539",474,370
"$5,000 to $9,999","33,022","20,995","6,898","2,343","1,442",717,627
"$10,000 to $12,499","22,480","11,130","6,944","2,135","1,294",647,330
"$12,500 to $14,999","18,488","7,874","6,366","1,975","1,199",630,444
"$15,000 to $17,499","22,851","9,565","7,235","2,988","1,741",671,651
"$17,500 to $19,999","19,741","7,430","6,885","2,601","1,503",852,470
"$20,000 to $22,499","24,132","7,980","9,050","3,054","2,253","1,017",778
"$22,500 to $24,999","20,607","5,127","8,468","3,211","2,111","1,035",655
"$25,000 to $27,499","23,076","5,939","8,850","3,799","2,417","1,298",773
"$27,500 to $29,999","18,164","3,837","7,203","3,219","2,086","1,196",623
"$30,000 to $32,499","23,566","5,315","9,106","3,640","3,061","1,595",849
"$32,500 to $34,999","17,120","2,805","6,855","3,039","2,459","1,310",652
"$35,000 to $37,499","20,084","3,562","8,024","3,597","2,909","1,264",728
"$37,500 to $39,999","15,042","1,979","5,869","2,988","2,356","1,144",706
"$40,000 to $42,499","18,963","2,715","7,089","3,552","3,148","1,569",890
"$42,500 to $44,999","12,445","1,173","4,878","2,738","2,087","1,016",553
"$45,000 to $47,499","14,508","1,156","6,063","2,945","2,436","1,132",776
"$47,500 to $49,999","11,482",879,"4,323","2,476","2,210","1,007",587
"$50,000 to $54,999","21,680","2,092","7,919","4,896","3,963","1,744","1,066"
"$55,000 to $59,999","15,979","1,035","5,692","3,721","3,170","1,465",896
"$60,000 to $74,499","33,462","1,744","11,529","7,934","7,278","2,875","2,102"
"$75,000 to $99,999","21,396",938,"7,120","5,064","4,667","2,184","1,423"
"$100,000 to $124,999","7,724",615,"2,587","1,814","1,520",620,568
"$125,000 to $149,999","3,029",212,"1,198",571,607,278,163
"$150,000 or more","6,807",669,"2,749","1,331","1,140",506,412
Median (dollars),"31,011","16,925","32,505","38,358","41,531","40,435","41,096"
,,,,,,,
,,,,,,,
NEW HAMPSHIRE,,,,,,,
,,,,,,,
  Total,"411,387","90,101","137,568","75,150","69,977","28,053","10,538"
"Less than $5,000","13,747","9,206","2,502","1,089",661,206,83
"$5,000 to $9,999","27,508","18,593","5,399","1,735","1,174",434,173
"$10,000 to $12,499","14,651","7,545","4,766","1,223",734,261,122
"$12,500 to $14,999","12,923","5,459","4,958","1,262",718,438,88
"$15,000 to $17,499","15,126","6,179","5,463","1,703","1,102",463,216
"$17,500 to $19,999","13,959","5,064","5,256","1,697","1,187",521,234
"$20,000 to $22,499","17,758","5,965","6,353","2,501","1,860",801,278
"$22,500 to $24,999","14,975","4,129","5,586","2,432","1,869",682,277
"$25,000 to $27,499","17,192","4,484","6,595","2,594","2,301",911,307
"$27,500 to $29,999","14,603","3,162","5,631","2,389","2,266",847,308
"$30,000 to $32,499","19,375","3,693","7,054","3,695","3,197","1,283",453
"$32,500 to $34,999","14,302","2,146","5,190","2,883","2,789",922,372
"$35,000 to $37,499","18,011","2,854","6,160","3,696","3,411","1,389",501
"$37,500 to $39,999","14,884","1,515","5,656","3,186","2,990","1,184",353
"$40,000 to $42,499","17,385","2,107","5,961","3,943","3,600","1,277",497
"$42,500 to $44,999","13,187",880,"4,739","2,872","2,997","1,246",453
"$45,000 to $47,499","15,001","1,132","5,147","3,616","3,333","1,342",431
"$47,500 to $49,999","11,366",698,"3,945","2,538","2,977",935,273
"$50,000 to $54,999","23,626","1,463","8,052","5,568","5,824","1,975",744
"$55,000 to $59,999","18,679",846,"6,364","4,490","4,551","1,785",643
"$60,000 to $74,499","38,965","1,358","12,726","9,948","9,456","3,967","1,510"
"$75,000 to $99,999","25,773",788,"7,941","6,394","6,448","2,922","1,280"
"$100,000 to $124,999","9,447",377,"3,067","2,054","2,304","1,191",454
"$125,000 to $149,999","3,671",168,"1,202",641,"1,031",377,252
"$150,000 or more","5,273",290,"1,855","1,001","1,197",694,236
Median (dollars),"36,329","16,719","36,636","43,847","46,600","47,164","48,626"
,,,,,,,
,,,,,,,
NEW JERSEY,,,,,,,
,,,,,,,
  Total,"2,794,316","640,436","849,064","508,751","460,358","216,113","119,594"
"Less than $5,000","105,777","59,366","19,352","12,604","7,907","3,956","2,592"
"$5,000 to $9,999","181,344","120,515","28,888","13,728","10,013","4,971","3,229"
"$10,000 to $12,499","88,549","46,641","25,146","7,284","5,201","2,530","1,747"
"$12,500 to $14,999","76,962","34,673","26,339","6,752","4,933","2,394","1,871"
"$15,000 to $17,499","90,067","35,840","31,052","11,128","6,499","3,353","2,195"
"$17,500 to $19,999","80,649","29,838","29,143","9,941","6,383","3,232","2,112"
"$20,000 to $22,499","97,321","35,891","33,015","12,465","9,241","4,418","2,291"
"$22,500 to $24,999","83,022","26,213","30,794","11,626","7,742","4,291","2,356"
"$25,000 to $27,499","101,353","32,809","33,652","15,089","11,213","5,417","3,173"
"$27,500 to $29,999","82,437","22,977","29,479","12,850","9,553","5,022","2,556"
"$30,000 to $32,499","110,120","31,461","34,330","18,022","15,631","7,033","3,643"
"$32,500 to $34,999","80,336","16,585","28,900","14,717","11,852","5,435","2,847"
"$35,000 to $37,499","101,615","21,438","33,357","19,295","16,345","7,594","3,586"
"$37,500 to $39,999","79,327","13,613","27,262","15,675","13,790","5,673","3,314"
"$40,000 to $42,499","103,229","19,202","32,088","20,715","19,329","8,020","3,875"
"$42,500 to $44,999","75,436","10,251","25,840","15,914","14,075","6,425","2,931"
"$45,000 to $47,499","89,360","11,860","28,999","19,174","18,059","7,559","3,709"
"$47,500 to $49,999","70,915","8,247","23,737","15,620","13,734","6,312","3,265"
"$50,000 to $54,999","153,301","15,957","49,046","34,312","32,035","14,678","7,273"
"$55,000 to $59,999","127,435","9,242","42,482","29,508","27,606","12,174","6,423"
"$60,000 to $74,499","303,679","17,430","94,298","73,443","69,799","32,241","16,468"
"$75,000 to $99,999","265,656","10,065","73,734","64,776","67,054","31,121","18,906"
"$100,000 to $124,999","114,982","4,381","30,389","26,053","30,084","14,652","9,423"
"$125,000 to $149,999","49,135","1,747","13,236","10,653","12,122","7,009","4,368"
"$150,000 or more","82,309","4,194","24,506","17,407","20,158","10,603","5,441"
Median (dollars),"40,927","19,442","41,077","50,231","54,420","54,902","55,885"
,,,,,,,
,,,,,,,
NEW MEXICO,,,,,,,
,,,,,,,
  Total,"543,825","124,220","167,808","93,316","85,983","43,510","28,988"
"Less than $5,000","47,783","23,341","9,332","6,178","4,539","2,341","2,052"
"$5,000 to $9,999","59,626","25,557","15,274","7,032","5,505","3,480","2,778"
"$10,000 to $12,499","33,439","11,264","9,394","4,890","3,810","2,235","1,846"
"$12,500 to $14,999","28,560","7,908","9,186","4,612","3,466","1,891","1,497"
"$15,000 to $17,499","30,842","8,257","9,319","4,868","4,182","2,362","1,854"
"$17,500 to $19,999","27,247","6,697","8,369","4,639","3,777","2,194","1,571"
"$20,000 to $22,499","29,196","6,988","9,450","4,590","4,189","2,375","1,604"
"$22,500 to $24,999","23,980","4,667","7,977","4,255","3,545","2,103","1,433"
"$25,000 to $27,499","25,485","5,072","7,887","4,552","4,391","2,132","1,451"
"$27,500 to $29,999","21,260","3,871","7,126","3,830","3,617","1,676","1,140"
"$30,000 to $32,499","24,108","4,066","7,600","4,158","4,469","2,466","1,349"
"$32,500 to $34,999","17,867","2,345","6,064","3,296","3,348","1,805","1,009"
"$35,000 to $37,499","19,187","2,429","6,259","3,798","3,718","1,834","1,149"
"$37,500 to $39,999","14,390","1,357","4,972","3,028","2,925","1,201",907
"$40,000 to $42,499","16,737","1,845","5,351","3,284","3,454","1,694","1,109"
"$42,500 to $44,999","11,931",962,"3,964","2,444","2,701","1,114",746
"$45,000 to $47,499","12,148","1,041","3,956","2,502","2,717","1,288",644
"$47,500 to $49,999","9,541",684,"3,132","2,146","2,225",910,444
"$50,000 to $54,999","19,078","1,523","6,364","4,001","4,417","1,921",852
"$55,000 to $59,999","14,192",874,"4,555","3,288","3,154","1,662",659
"$60,000 to $74,499","26,721","1,552","9,774","5,659","5,896","2,426","1,414"
"$75,000 to $99,999","17,069","1,103","6,692","3,500","3,477","1,500",797
"$100,000 to $124,999","6,402",385,"2,730","1,370","1,179",352,386
"$125,000 to $149,999","2,683",115,"1,237",566,406,214,145
"$150,000 or more","4,353",317,"1,844",830,876,334,152
Median (dollars),"24,087","13,116","26,776","28,180","31,102","28,458","24,754"
,,,,,,,
,,,,,,,
NEW YORK,,,,,,,
,,,,,,,
  Total,"6,634,434","1,788,656","1,938,056","1,126,431","983,769","485,043","312,479"
"Less than $5,000","402,744","207,435","77,904","51,902","34,905","17,627","12,971"
"$5,000 to $9,999","629,440","389,614","110,837","56,922","37,696","19,482","14,889"
"$10,000 to $12,499","271,735","128,760","75,578","28,490","20,221","10,458","8,228"
"$12,500 to $14,999","222,366","90,576","72,436","25,676","17,391","9,009","7,278"
"$15,000 to $17,499","256,098","98,634","82,867","31,675","22,619","11,631","8,672"
"$17,500 to $19,999","237,341","82,052","81,315","32,007","22,012","11,666","8,289"
"$20,000 to $22,499","280,874","97,284","91,169","39,244","28,907","14,518","9,752"
"$22,500 to $24,999","224,870","64,962","78,780","34,187","25,203","12,953","8,785"
"$25,000 to $27,499","268,006","80,792","86,251","40,896","33,445","16,152","10,470"
"$27,500 to $29,999","212,401","53,761","72,421","35,679","27,403","14,307","8,830"
"$30,000 to $32,499","275,007","78,437","82,771","45,203","38,648","18,809","11,139"
"$32,500 to $34,999","195,281","38,909","66,196","36,391","30,556","14,609","8,620"
"$35,000 to $37,499","236,067","53,431","72,818","43,134","38,385","18,030","10,269"
"$37,500 to $39,999","182,177","32,819","59,240","35,699","30,758","15,052","8,609"
"$40,000 to $42,499","230,686","45,530","69,339","43,656","41,804","20,305","10,052"
"$42,500 to $44,999","161,849","23,021","51,758","34,255","29,619","14,774","8,422"
"$45,000 to $47,499","185,458","29,419","55,565","37,930","36,461","16,693","9,390"
"$47,500 to $49,999","149,010","18,671","47,204","32,522","29,153","13,644","7,816"
"$50,000 to $54,999","310,607","40,502","92,634","65,375","64,747","30,702","16,647"
"$55,000 to $59,999","244,328","22,292","75,629","55,510","52,213","24,539","14,145"
"$60,000 to $74,499","553,986","44,632","165,297","126,445","121,736","58,813","37,063"
"$75,000 to $99,999","454,648","29,172","131,957","103,078","103,908","50,992","35,541"
"$100,000 to $124,999","199,529","15,854","55,726","41,656","44,942","23,483","17,868"
"$125,000 to $149,999","85,609","6,284","25,678","17,309","18,179","10,080","8,079"
"$150,000 or more","164,317","15,813","56,686","31,590","32,858","16,715","10,655"
Median (dollars),"32,965","16,976","34,641","41,495","45,844","45,470","45,257"
,,,,,,,
,,,,,,,
NORTH CAROLINA,,,,,,,
,,,,,,,
  Total,"2,517,098","593,293","845,469","487,931","381,212","144,152","65,041"
"Less than $5,000","185,418","113,494","34,802","18,856","10,676","4,936","2,654"
"$5,000 to $9,999","243,607","126,657","71,290","23,519","12,644","5,973","3,524"
"$10,000 to $12,499","135,514","53,414","47,326","18,249","9,377","4,598","2,550"
"$12,500 to $14,999","114,982","37,351","42,592","17,731","10,329","4,554","2,425"
"$15,000 to $17,499","134,392","44,478","46,902","21,095","13,508","5,543","2,866"
"$17,500 to $19,999","118,705","32,284","43,273","20,948","13,726","5,756","2,718"
"$20,000 to $22,499","134,727","35,262","48,662","23,751","16,867","6,712","3,473"
"$22,500 to $24,999","109,547","22,144","41,494","21,352","15,201","6,427","2,929"
"$25,000 to $27,499","123,924","23,899","44,607","25,434","18,773","7,490","3,721"
"$27,500 to $29,999","98,568","15,370","36,758","21,380","16,170","6,099","2,791"
"$30,000 to $32,499","121,266","19,489","43,785","25,914","21,558","7,538","2,982"
"$32,500 to $34,999","89,196","9,660","32,695","21,273","16,462","6,284","2,822"
"$35,000 to $37,499","99,463","10,841","34,876","23,519","19,954","7,264","3,009"
"$37,500 to $39,999","74,571","6,501","26,582","18,930","14,959","5,453","2,146"
"$40,000 to $42,499","87,223","8,196","30,339","20,951","18,897","6,271","2,569"
"$42,500 to $44,999","63,362","3,676","22,311","16,360","13,973","4,998","2,044"
"$45,000 to $47,499","67,052","4,395","22,397","17,366","15,459","5,335","2,100"
"$47,500 to $49,999","51,517","3,060","17,537","13,608","11,959","3,636","1,717"
"$50,000 to $54,999","99,481","5,487","32,560","25,643","24,621","7,922","3,248"
"$55,000 to $59,999","74,252","3,609","23,925","19,955","17,908","6,090","2,765"
"$60,000 to $74,499","138,616","5,857","46,570","35,549","33,661","12,074","4,905"
"$75,000 to $99,999","85,545","3,695","29,029","22,274","20,243","7,290","3,014"
"$100,000 to $124,999","29,966","1,710","10,766","7,020","6,691","2,719","1,060"
"$125,000 to $149,999","12,435",800,"4,751","2,765","2,701","1,104",314
"$150,000 or more","23,769","1,964","9,640","4,489","4,895","2,086",695
Median (dollars),"26,647","12,706","27,622","33,174","36,919","35,057","32,406"
,,,,,,,
,,,,,,,
NORTH DAKOTA,,,,,,,
,,,,,,,
  Total,"241,802","63,790","78,632","36,784","36,643","18,419","7,534"
"Less than $5,000","17,526","10,754","3,593","1,599",824,495,261
"$5,000 to $9,999","29,125","16,107","7,317","2,592","1,595",890,624
"$10,000 to $12,499","14,928","6,623","4,887","1,557","1,054",478,329
"$12,500 to $14,999","13,621","5,007","4,984","1,605","1,151",555,319
"$15,000 to $17,499","14,491","5,162","5,051","1,794","1,464",736,284
"$17,500 to $19,999","13,313","3,774","4,816","1,868","1,704",753,398
"$20,000 to $22,499","14,597","3,654","5,518","2,054","1,947",989,435
"$22,500 to $24,999","11,574","2,235","4,375","1,847","1,725","1,047",345
"$25,000 to $27,499","12,392","2,280","4,643","2,000","2,076","1,015",378
"$27,500 to $29,999","9,987","1,370","3,722","1,798","1,760",973,364
"$30,000 to $32,499","11,459","1,718","4,046","1,912","2,422","1,036",325
"$32,500 to $34,999","8,284",919,"2,729","1,599","1,805",851,381
"$35,000 to $37,499","9,243",958,"3,038","1,744","1,986","1,080",437
"$37,500 to $39,999","6,719",473,"2,216","1,397","1,572",751,310
"$40,000 to $42,499","7,569",618,"2,406","1,547","1,771",941,286
"$42,500 to $44,999","5,532",290,"1,732","1,142","1,493",611,264
"$45,000 to $47,499","5,751",235,"1,875","1,231","1,479",678,253
"$47,500 to $49,999","4,418",190,"1,362",996,"1,137",583,150
"$50,000 to $54,999","7,762",409,"2,486","1,547","1,894","1,029",397
"$55,000 to $59,999","5,606",150,"1,757","1,244","1,470",692,293
"$60,000 to $74,499","9,363",442,"3,046","2,042","2,280","1,196",357
"$75,000 to $99,999","4,718",181,"1,642","1,022","1,175",541,157
"$100,000 to $124,999","1,721",92,619,292,396,239,83
"$125,000 to $149,999",687,29,271,108,141,108,30
"$150,000 or more","1,416",120,501,247,322,152,74
Median (dollars),"23,213","11,900","24,300","29,552","33,330","33,212","30,231"
,,,,,,,
,,,,,,,
OHIO,,,,,,,
,,,,,,,
  Total,"4,089,312","1,014,571","1,300,447","719,950","634,879","286,782","132,683"
"Less than $5,000","270,387","141,725","54,665","39,205","22,971","7,862","3,959"
"$5,000 to $9,999","386,874","229,262","77,241","32,788","24,277","14,455","8,851"
"$10,000 to $12,499","194,921","91,561","58,170","20,985","13,252","6,845","4,108"
"$12,500 to $14,999","174,110","68,711","62,264","20,353","12,871","6,356","3,555"
"$15,000 to $17,499","194,443","71,017","70,394","25,031","16,298","7,527","4,176"
"$17,500 to $19,999","184,398","57,413","71,633","25,403","17,461","8,307","4,181"
"$20,000 to $22,499","202,747","60,549","76,063","29,966","21,135","10,239","4,795"
"$22,500 to $24,999","169,644","41,109","66,351","27,732","20,724","9,123","4,605"
"$25,000 to $27,499","190,835","44,921","69,812","32,309","26,039","12,534","5,220"
"$27,500 to $29,999","158,112","30,039","57,391","29,708","25,009","10,768","5,197"
"$30,000 to $32,499","189,443","37,104","63,994","34,637","32,607","14,626","6,475"
"$32,500 to $34,999","146,648","20,882","51,667","30,307","27,110","11,774","4,908"
"$35,000 to $37,499","163,075","24,045","54,492","32,712","31,933","14,060","5,833"
"$37,500 to $39,999","131,364","14,832","44,611","27,884","27,095","11,602","5,340"
"$40,000 to $42,499","149,919","17,660","48,361","31,759","32,090","14,249","5,800"
"$42,500 to $44,999","113,602","8,922","37,318","26,265","25,633","10,897","4,567"
"$45,000 to $47,499","116,194","8,919","37,927","26,341","26,822","11,562","4,623"
"$47,500 to $49,999","93,992","5,659","30,229","21,889","22,457","9,729","4,029"
"$50,000 to $54,999","178,218","10,633","56,447","42,182","42,606","18,676","7,674"
"$55,000 to $59,999","135,292","5,741","42,053","33,609","33,145","14,688","6,056"
"$60,000 to $74,499","262,418","10,177","79,100","64,738","66,328","29,099","12,976"
"$75,000 to $99,999","162,117","6,374","49,558","38,488","40,735","17,877","9,085"
"$100,000 to $124,999","54,122","2,849","17,213","12,210","12,456","6,140","3,254"
"$125,000 to $149,999","22,267","1,389","7,688","4,709","4,779","2,598","1,104"
"$150,000 or more","44,170","3,078","15,805","8,740","9,046","5,189","2,312"
Median (dollars),"28,706","14,128","29,401","35,883","39,876","39,421","37,724"
,,,,,,,
,,,,,,,
OKLAHOMA,,,,,,,
,,,,,,,
  Total,"1,207,235","306,695","403,021","203,509","181,402","77,261","35,347"
"Less than $5,000","97,831","53,533","21,161","11,441","6,960","3,140","1,596"
"$5,000 to $9,999","152,521","81,581","39,327","14,252","9,336","5,084","2,941"
"$10,000 to $12,499","73,350","27,258","25,175","9,090","6,633","3,428","1,766"
"$12,500 to $14,999","62,637","19,343","23,052","9,012","6,582","2,904","1,744"
"$15,000 to $17,499","68,806","20,586","24,322","10,446","7,749","3,747","1,956"
"$17,500 to $19,999","60,057","16,014","21,823","9,252","7,528","3,565","1,875"
"$20,000 to $22,499","65,486","16,192","23,281","10,651","9,296","4,252","1,814"
"$22,500 to $24,999","53,237","11,301","19,755","8,967","7,995","3,558","1,661"
"$25,000 to $27,499","57,764","11,939","20,202","10,140","9,483","3,928","2,072"
"$27,500 to $29,999","46,282","7,355","17,311","8,579","7,915","3,413","1,709"
"$30,000 to $32,499","53,868","9,230","18,292","10,450","9,942","4,319","1,635"
"$32,500 to $34,999","39,555","4,848","14,282","7,887","7,732","3,404","1,402"
"$35,000 to $37,499","42,977","5,510","14,522","9,216","8,655","3,684","1,390"
"$37,500 to $39,999","32,054","2,947","11,208","6,883","7,177","2,711","1,128"
"$40,000 to $42,499","36,752","3,703","12,908","7,617","8,170","3,124","1,230"
"$42,500 to $44,999","26,441","1,910","9,637","5,710","6,136","2,250",798
"$45,000 to $47,499","26,864","1,818","9,268","5,975","6,372","2,409","1,022"
"$47,500 to $49,999","21,822","1,459","7,709","5,140","4,924","1,825",765
"$50,000 to $54,999","41,548","2,682","14,797","9,325","9,586","3,710","1,448"
"$55,000 to $59,999","29,931","1,384","10,301","6,882","7,463","2,675","1,226"
"$60,000 to $74,499","56,871","2,736","20,363","13,286","13,366","5,149","1,971"
"$75,000 to $99,999","32,990","1,507","12,546","7,688","7,227","2,847","1,175"
"$100,000 to $124,999","12,075",771,"5,225","2,572","2,142",845,520
"$125,000 to $149,999","4,725",224,"2,127",974,864,427,109
"$150,000 or more","10,791",864,"4,427","2,074","2,169",863,394
Median (dollars),"23,577","11,672","25,447","29,978","32,915","30,933","27,864"
,,,,,,,
,,,,,,,
OREGON,,,,,,,
,,,,,,,
  Total,"1,105,362","277,631","393,755","173,917","156,211","68,133","35,715"
